Entrada A : 2
Entrada B : 1
Entrada C : 9
Entrada D : 0
Entrada E : 8
Entrada F : 3
Entrada G : 5
Entrada H : 1
Entrada I : 3
Entrada J : 0
Entrada K : 0
Entrada L : 7
Entrada M : 7
Entrada N : 1
Entrada O : 0
Entrada P : 8
Entrada Q : 5
Entrada R : 0
Entrada S : 9
Entrada T : 9
K -> 0.02794 -> I
K -> 0.07022 -> S
M -> 0.06417 -> M
N -> 0.01322 -> E
N -> 0.1193 -> J
N -> 0.1025 -> K
N -> 0.1118 -> O
P -> 0.0779 -> G
P -> 0.0006382 -> H
P -> 0.0797 -> K
S -> 0.08101 -> P
S -> 0.09537 -> S
A -> 0.02933 -> E
B -> 0.02376 -> C
C -> 0.0549 -> C
D -> 0.01531 -> E
D -> 0.07176 -> I
F -> 0.09498 -> O
F -> 0.0267 -> Q
F -> 0.00472 -> S
J -> 0.01905 -> Q
L -> 0.02242 -> M
M -> 0.03536 -> B
M -> 0.07705 -> T
O -> 0.0526 -> F
Q -> 0.01441 -> G
R -> 0.08079 -> O
T -> 0.05617 -> P
C -> 0.06956 -> K
D -> 0.01995 -> M
E -> 0.07621 -> I
H -> 0.02301 -> H
H -> 0.08906 -> L
K -> 0.07788 -> N
L -> 0.04798 -> Q
P -> 0.03506 -> D
P -> 0.01 -> N
Q -> 0.0741 -> F
S -> 0.01604 -> E
T -> 0.08911 -> K
B -> 0.07701 -> K
B -> 0.06579 -> N
D -> 0.08094 -> J
F -> 0.05393 -> A
F -> 0.0975 -> L
F -> 0.02027 -> N
I -> 0.07379 -> C
I -> 0.0576 -> E
J -> 0.04302 -> B
P -> 0.07304 -> S
S -> 0.01978 -> R
A -> 0.06831 -> J
B -> 0.07794 -> J
C -> 0.04239 -> Q
D -> 0.04319 -> L
G -> 0.0165 -> B
G -> 0.08773 -> M
H -> 0.05167 -> D
L -> 0.04873 -> R
M -> 0.0817 -> K
N -> 0.06061 -> F
N -> 0.1101 -> R
R -> 0.05593 -> B
R -> 0.003201 -> N
A -> 0.02473 -> N
A -> 0.07193 -> T
B -> 0.00263 -> F
C -> 0.01534 -> R
D -> 0.106 -> B
E -> 0.04744 -> E
E -> 0.02428 -> P
F -> 0.01718 -> D
I -> 0.04124 -> H
I -> 0.01798 -> K
J -> 0.07322 -> I
N -> 0.01153 -> D
D -> 0.0672 -> C
E -> 0.05749 -> H
G -> 0.05223 -> A
J -> 0.07273 -> C
K -> 0.07903 -> A
K -> 0.03757 -> P
L -> 0.06626 -> I
M -> 0.08482 -> L
N -> 0.003372 -> H
P -> 0.07019 -> I
Q -> 0.01156 -> P
A -> 0.0111 -> F
F -> 0.00737 -> C
F -> 0.03305 -> H
K -> 0.002948 -> K
M -> 0.01233 -> Q
O -> 0.06864 -> P
S -> 0.08233 -> C
T -> 0.005704 -> M
C -> 0.03329 -> B
E -> 0.001381 -> B
G -> 0.05128 -> C
H -> 0.04266 -> B
I -> 0.07495 -> N
K -> 0.0007877 -> C
Q -> 0.03156 -> C
T -> 0.09461 -> I
A -> 0.0767 -> I
C -> 0.07456 -> F
E -> 0.02988 -> L
J -> 0.08646 -> G
J -> 0.04278 -> O
P -> 0.06986 -> J
S -> 0.0825 -> M
A -> 0.06081 -> O
B -> 0.07427 -> D
C -> 0.04958 -> H
F -> 0.09082 -> E
F -> 0.09797 -> G
M -> 0.02342 -> D
Q -> 0.07561 -> L
B -> 0.06058 -> L
D -> 0.1075 -> F
N -> 0.007229 -> A
N -> 0.037 -> G
Q -> 0.04662 -> J
R -> 0.00218 -> M
S -> 0.05568 -> G
I -> 0.04972 -> P
K -> 0.08692 -> R
L -> 0.03302 -> J
G -> 0.05986 -> P
P -> 0.01449 -> R
B -> 0.08927 -> M
C -> 0.08514 -> L
D -> 0.03311 -> O
C -> 0.02314 -> A
G -> 0.08474 -> F
J -> 0.001239 -> D
S -> 0.03272 -> H
T -> 0.05416 -> A
H -> 0.00312 -> J
B -> 0.07813 -> E
C -> 0.01858 -> E
I -> 0.03962 -> G
O -> 0.04513 -> T
R -> 0.06086 -> F
R -> 0.03435 -> Q
R -> 0.0895 -> T
L -> 0.02703 -> E
C -> 0.03494 -> P
D -> 0.01465 -> D
J -> 0.03976 -> K
Q -> 0.05572 -> A
T -> 0.0459 -> S
C -> 0.07602 -> J
O -> 0.04203 -> R
T -> 0.01195 -> D
T -> 0.04981 -> H
L -> 0.02072 -> S
M -> 0.05968 -> I
O -> 0.06459 -> M
C -> 0.07195 -> O
B -> 0.03578 -> G
R -> 0.0448 -> S
T -> 0.0159 -> T
R -> 0.05504 -> R
H -> 0.04197 -> O
I -> 0.06782 -> B
