Entrada A : 7
Entrada B : 0
Entrada C : 9
Entrada D : 1
Entrada E : 3
Entrada F : 2
Entrada G : 7
Entrada H : 3
Entrada I : 9
Entrada J : 2
Entrada K : 9
Entrada L : 4
Entrada M : 3
Entrada N : 6
Entrada O : 9
D -> 0.05755 -> L
L -> 0.03035 -> B
N -> 0.01571 -> K
C -> 0.05561 -> J
K -> 0.02838 -> C
O -> 0.04086 -> D
I -> 0.05993 -> G
I -> 0.03346 -> I
E -> 0.009498 -> O
K -> 0.07923 -> G
N -> 0.01831 -> M
D -> 0.07357 -> N
